latitude,longitude,prr_percent,dli_avg,drr_percent,baseline_power_mwh,achieved_power_mwh,power_ratio_percent
43.45,-78.94,92.2909948017075,19.999999800000197,99.99999900000098,8954.079200713139,8263.808769670935,92.2909948017075
43.37,-78.94,91.93224139901997,19.99999980000005,99.99999900000024,8893.067888063848,8175.596638633585,91.93224139901997
43.29,-78.94,90.7271976771437,19.99999980000015,99.99999900000076,8891.425354677454,8066.941057853889,90.7271976771437
43.17,-78.94,91.30331140230588,19.999999799999937,99.99999899999969,8932.501403299224,8155.669572269633,91.30331140230588
43.09,-78.94,90.81256283145193,19.999999800000072,99.99999900000036,8821.123935514825,8010.688716379645,90.81256283145193
43.01,-78.94,91.14503777469497,19.9999998000001,99.9999990000005,8904.916977847073,8116.38994326394,91.14503777469497
42.81,-78.94,86.56035113817158,19.999999800000257,99.99999900000128,8377.484590192078,7251.580077816478,86.56035113817158
42.73,-78.94,88.05604976328554,19.999999800000104,99.99999900000051,8591.32337037385,7565.179982341179,88.05604976328554
42.65,-78.94,91.27406636146873,19.99999980000012,99.9999990000006,8807.795714113858,8039.23330508288,91.27406636146873
42.53,-78.94,91.30904899514184,19.999999799999983,99.99999899999992,8759.067800515779,7997.821509490645,91.30904899514184
42.45,-78.94,93.68861483145497,19.999999799999998,99.99999899999999,8920.86610909564,8357.835888580417,93.68861483145497
42.37,-78.94,94.91455106479542,19.999999800000143,99.99999900000071,9051.277988183585,8590.979868111095,94.91455106479542
42.29,-78.94,94.00354669671547,19.999999800000218,99.9999990000011,9036.287564161312,8494.430800025873,94.00354669671547
42.17,-78.94,93.75490397518055,19.999999799999998,99.99999899999999,8934.302325287616,8376.346565925725,93.75490397518055
42.09,-78.94,93.69732099053321,19.99999980000005,99.99999900000024,8992.158943998134,8425.412029736875,93.69732099053321
42.01,-78.94,89.71022661454866,19.99999980000008,99.9999990000004,8598.122546514733,7713.3952210749685,89.71022661454866
43.53,-78.86,92.1968060474817,19.999999800000268,99.99999900000134,8959.995178030213,8260.829376152227,92.1968060474817
43.45,-78.86,92.00068352574998,19.999999800000197,99.99999900000098,8946.288702247548,8230.64675625469,92.00068352574998
43.37,-78.86,91.48566032741321,19.999999800000086,99.99999900000043,8920.094324758169,8160.607194833122,91.48566032741321
43.29,-78.86,92.20476290531306,19.9999998000002,99.99999900000101,8970.490743727074,8271.219721696601,92.20476290531306
43.17,-78.86,92.03284113422835,19.99999980000009,99.99999900000046,8968.717375798667,8254.165414246721,92.03284113422835
43.09,-78.86,91.55036646903696,19.999999800000086,99.99999900000043,8866.63382955899,8117.435764428862,91.55036646903696
43.01,-78.86,90.05686791298953,19.999999800000225,99.99999900000113,8776.211819059306,7903.581485654415,90.05686791298953
42.89,-78.86,89.57792802921767,19.999999800000328,99.99999900000164,8716.23724218505,7807.824723660393,89.57792802921767
42.81,-78.86,87.36638220942919,19.999999800000197,99.99999900000098,8528.001663376941,7450.606528052378,87.36638220942919
42.73,-78.86,91.6998771330113,19.99999980000027,99.99999900000137,8776.471518884548,8048.013599430861,91.6998771330113
42.65,-78.86,90.46152118850611,19.99999980000035,99.99999900000175,8751.350965914558,7916.605208311333,90.46152118850611
42.53,-78.86,91.42489469187132,19.99999980000024,99.9999990000012,8782.2438073106,8029.157152417107,91.42489469187132
42.45,-78.86,92.22684704168854,19.999999800000097,99.99999900000049,8832.155022284667,8145.6181028872925,92.22684704168854
42.37,-78.86,94.3347312517001,19.999999800000058,99.9999990000003,9026.222307062226,8514.862555548156,94.3347312517001
42.29,-78.86,93.52130615323766,19.99999980000027,99.99999900000137,8972.477259366395,8391.177927261673,93.52130615323766
